question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7052631578947368,0.0,0.7052631578947368,0.0,0.7052631578947368,0.3526315789473684
for_whats,0.003561316811018605,0.2790667496907581,0.0635752688172043,0.1896893797070419,0.033176112392002695,0.1827119300154654,0.11453472821009125
hows,0.0040327995885286886,0.24382086167800454,0.056878306878306875,0.1999551195769683,0.04900496329067757,0.19916146878331753,0.12653138482966078
others,0.02222285395230376,0.34184397163120567,0.09275582573454913,0.2824261834764076,0.08264099966227625,0.27449028735827274,0.1978151869660814
whats,0.011447770979970046,0.4189087342774037,0.13881491308857755,0.32071126026610347,0.10202867656496395,0.3127221550573993,0.21302636613902357
whens,0.008620689655172414,0.21688218390804595,0.04348659003831418,0.19585490524744192,0.03631003247609418,0.19318659654465048,0.13554233728056705
wheres,0.012814944622989032,0.3644524058317162,0.14668560606060607,0.3429195697975602,0.13626819184974265,0.34117131804930845,0.2524939323909886
