index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",58,40,55,39,56,40,46
1,"(0.2, 0.4)",0,9,1,11,1,10,8
2,"(0.4, 0.6)",1,4,1,5,0,5,3
3,"(0.6, 0.8)",0,1,1,0,1,0,1
4,"(0.8, 1.0)",0,5,1,4,1,4,1
