index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",149,85,126,90,132,90,121
1,"(0.2, 0.4)",1,28,15,37,12,38,15
2,"(0.4, 0.6)",0,18,4,14,3,13,7
3,"(0.6, 0.8)",1,16,5,7,2,7,6
4,"(0.8, 1.0)",2,6,3,5,4,5,4
