index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",108,30,73,31,72,31,60
1,"(0.2, 0.4)",1,37,7,40,21,40,19
2,"(0.4, 0.6)",1,11,16,19,10,19,13
3,"(0.6, 0.8)",0,21,8,13,2,13,11
4,"(0.8, 1.0)",2,13,8,9,7,9,9
