index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",1246,442,976,501,1007,511,781
1,"(0.2, 0.4)",12,230,76,345,122,364,251
2,"(0.4, 0.6)",11,228,99,208,63,191,95
3,"(0.6, 0.8)",8,179,28,133,29,122,76
4,"(0.8, 1.0)",14,212,112,104,70,103,88
