index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",138,104,131,107,132,107,120
1,"(0.2, 0.4)",2,13,4,17,3,18,8
2,"(0.4, 0.6)",0,12,2,7,3,7,7
3,"(0.6, 0.8)",0,4,1,5,0,4,3
4,"(0.8, 1.0)",2,9,4,6,4,6,4
