index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",224,67,224,67,224,67,67
1,"(0.2, 0.4)",0,0,0,0,0,0,0
2,"(0.4, 0.6)",0,0,0,0,0,0,157
3,"(0.6, 0.8)",0,0,0,0,0,0,0
4,"(0.8, 1.0)",0,157,0,157,0,157,0
