index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",1668,509,1343,575,1353,598,1028
1,"(0.2, 0.4)",10,286,115,509,185,536,368
2,"(0.4, 0.6)",6,371,100,309,67,292,133
3,"(0.6, 0.8)",3,221,30,216,41,186,103
4,"(0.8, 1.0)",8,308,107,86,49,83,63
