index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",190,105,172,117,174,117,150
1,"(0.2, 0.4)",0,33,9,44,9,44,25
2,"(0.4, 0.6)",0,31,3,16,2,16,8
3,"(0.6, 0.8)",0,9,2,7,2,7,4
4,"(0.8, 1.0)",0,12,4,6,3,6,3
