index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",28,12,24,13,24,13,16
1,"(0.2, 0.4)",0,4,1,4,1,4,6
2,"(0.4, 0.6)",0,5,2,3,3,3,4
3,"(0.6, 0.8)",1,4,2,7,1,7,3
4,"(0.8, 1.0)",0,4,0,2,0,2,0
