index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",111,28,82,29,83,29,61
1,"(0.2, 0.4)",0,32,8,37,15,37,26
2,"(0.4, 0.6)",0,14,13,19,8,19,9
3,"(0.6, 0.8)",1,26,4,19,1,19,11
4,"(0.8, 1.0)",0,12,5,8,5,8,5
