question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7777777777777778,0.0,0.7777777777777778,0.0,0.7777777777777778,0.3888888888888889
for_whats,0.012987012987012988,0.3934858792001649,0.11255411255411255,0.29903702046699265,0.08319472972795662,0.29216599487938955,0.18697787738066332
hows,0.015183098730739322,0.2095,0.06258333333333332,0.18037608225108226,0.05925396825396825,0.18037608225108226,0.11892455987579652
others,0.0,0.38091397849462366,0.11505376344086021,0.3335435174144851,0.10465949820788531,0.3335435174144851,0.2347020432354593
whats,0.02009465097485359,0.4507284095423377,0.1513977408155863,0.3567006555253441,0.12662644405993714,0.34309725100314403,0.23894395297526463
whens,0.016199963309175985,0.20939662189662192,0.07553418803418803,0.1854350986703928,0.0634599730753577,0.1839268030444501,0.13620036826137294
wheres,0.020797417753375173,0.38688524590163936,0.14426229508196722,0.3488719158801126,0.13060109289617486,0.3488719158801126,0.24127766336701678
