index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",4,1,4,2,4,2,4
1,"(0.2, 0.4)",0,3,0,2,0,2,0
2,"(0.4, 0.6)",0,0,0,0,0,0,0
3,"(0.6, 0.8)",0,0,0,0,0,0,0
4,"(0.8, 1.0)",0,0,0,0,0,0,0
