index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",24,9,19,8,19,8,12
1,"(0.2, 0.4)",0,1,1,6,3,6,7
2,"(0.4, 0.6)",0,6,3,7,1,7,3
3,"(0.6, 0.8)",0,4,0,1,0,1,0
4,"(0.8, 1.0)",0,4,1,2,1,2,2
