question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7239819004524887,0.0,0.7239819004524887,0.0,0.7239819004524887,0.36199095022624433
for_whats,0.028154732662089392,0.2987640338068484,0.07938517179023508,0.2342440662597727,0.06515015739356374,0.22820537920842748,0.14652754804041357
hows,0.02555805031563336,0.2449177202488461,0.08814469195263896,0.2137979265060446,0.07669716229318878,0.21008993471858262,0.15220836931742468
others,0.014722460027529492,0.26270323244007454,0.0730576441102757,0.20728236858834587,0.057938163201321086,0.20337166303188506,0.13761663886670156
whats,0.02366049165201126,0.41305910561259207,0.15834547097312218,0.33251482229185486,0.12543253962881962,0.3236034294753864,0.23242638096842952
whens,0.01743112941886773,0.17667418653334147,0.05277498323272971,0.15683568955437005,0.04972906132806713,0.15396461696498762,0.11254876403460815
wheres,0.032907169631091575,0.38839285714285715,0.19895833333333332,0.3548512499405357,0.17857336116264685,0.3548512499405357,0.2614720215486178
