index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",28,11,24,11,24,11,15
1,"(0.2, 0.4)",0,4,1,5,1,5,7
2,"(0.4, 0.6)",0,5,1,4,2,4,4
3,"(0.6, 0.8)",1,4,2,6,1,6,2
4,"(0.8, 1.0)",0,5,1,3,1,3,1
