index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",193,100,177,109,177,110,160
1,"(0.2, 0.4)",1,41,8,55,10,54,16
2,"(0.4, 0.6)",0,32,3,14,4,14,13
3,"(0.6, 0.8)",0,8,2,10,2,10,2
4,"(0.8, 1.0)",0,13,4,6,1,6,3
