index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",118,27,84,29,84,29,63
1,"(0.2, 0.4)",0,36,9,42,21,42,26
2,"(0.4, 0.6)",0,22,15,23,6,23,11
3,"(0.6, 0.8)",0,19,4,15,2,15,11
4,"(0.8, 1.0)",0,14,6,9,5,9,7
