index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",76,48,65,43,66,43,59
1,"(0.2, 0.4)",0,12,6,20,5,20,10
2,"(0.4, 0.6)",1,10,2,8,5,8,2
3,"(0.6, 0.8)",0,6,3,6,1,6,6
4,"(0.8, 1.0)",0,1,1,0,0,0,0
