index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",72,30,67,37,67,38,55
1,"(0.2, 0.4)",0,22,5,24,5,24,12
2,"(0.4, 0.6)",0,9,0,7,0,7,4
3,"(0.6, 0.8)",0,9,0,4,0,3,1
4,"(0.8, 1.0)",3,5,3,3,3,3,3
