index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",1716,537,1375,598,1389,624,1070
1,"(0.2, 0.4)",9,290,113,535,193,563,369
2,"(0.4, 0.6)",8,395,116,311,63,288,143
3,"(0.6, 0.8)",4,224,28,215,51,186,93
4,"(0.8, 1.0)",9,300,114,87,50,85,71
