question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7210526315789474,0.0,0.7210526315789474,0.0,0.7210526315789474,0.3605263157894737
for_whats,0.00468695650687243,0.2982718894009217,0.05147849462365591,0.2181240729892456,0.03448185468558983,0.20705592671047884,0.12141243519551294
hows,0.011884449456683072,0.27016250944822373,0.1018037518037518,0.23711471987869503,0.09390089628184865,0.23605651882049397,0.16349765109570552
others,0.010638297872340425,0.3168812032078615,0.08714539007092198,0.2702552074400646,0.07542885092408202,0.26340569262674685,0.19008287836451093
whats,0.02555671167931185,0.43536338700349947,0.16274539528991264,0.3515201481721457,0.13164030992163728,0.3424765726920253,0.24735246137454603
whens,0.014656607985376751,0.21453544061302682,0.04022646414887794,0.19389414323384643,0.0385359480560719,0.1885858039271619,0.12444647671769822
wheres,0.03554221735026176,0.40066738816738817,0.20681818181818182,0.3742198225750857,0.17963940397095476,0.37247157082683396,0.28442178507115473
