index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",46,20,38,19,39,21,35
1,"(0.2, 0.4)",0,13,7,17,7,15,4
2,"(0.4, 0.6)",1,7,1,9,0,9,5
3,"(0.6, 0.8)",0,4,1,0,1,0,3
4,"(0.8, 1.0)",0,3,0,2,0,2,0
