index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",1217,438,956,478,987,490,750
1,"(0.2, 0.4)",10,230,98,344,131,366,265
2,"(0.4, 0.6)",14,232,82,214,62,198,101
3,"(0.6, 0.8)",13,175,37,135,32,118,72
4,"(0.8, 1.0)",19,198,100,102,61,101,85
