index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",32,14,24,15,24,15,18
1,"(0.2, 0.4)",0,3,4,4,4,4,5
2,"(0.4, 0.6)",0,5,1,5,2,5,5
3,"(0.6, 0.8)",0,3,1,5,0,5,2
4,"(0.8, 1.0)",0,7,2,3,2,3,2
