question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
hows,0.0,0.24999999999999997,0.0,0.21085164835164832,0.0,0.21085164835164832,0.09471509642069308
others,0.0,0.75,0.2,0.6428571428571428,0.1052631578947368,0.6428571428571428,0.34062253743104803
whats,0.0,0.44947916666666665,0.12847222222222224,0.356893719026072,0.12035201640464799,0.356893719026072,0.2550863175187773
whens,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheres,0.0,0.7083333333333333,0.5833333333333333,0.5584415584415585,0.4222222222222222,0.5584415584415585,0.46011927541778286
