question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7,0.0,0.7,0.0,0.7,0.35
for_whats,0.004612560371842709,0.31960935889507314,0.08068783068783068,0.22335803667865395,0.040646198924552006,0.2103131236127148,0.12268227571308418
hows,0.02059417898449832,0.2553337082864642,0.09884616695640316,0.22010542426495866,0.08587469626497356,0.2181631670471109,0.16144775817990764
others,0.010638297872340425,0.3152451567345184,0.08598316577039981,0.25676219536388145,0.07421291968981729,0.2486935001482194,0.18163896823979064
whats,0.020145914251048964,0.4370293956121833,0.1568007556314385,0.3446324318459378,0.12191711153428547,0.335941899600992,0.2360157841845178
whens,0.015170997290099937,0.18697660098522167,0.04392446633825944,0.16827772621969178,0.038968939660863434,0.1634704494069703,0.11530904540701035
wheres,0.024178580986625398,0.3884690501069812,0.19890107470049329,0.37068816284725375,0.17897393663459493,0.36893991109900204,0.2862268689179766
