question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7555555555555555,0.0,0.7555555555555555,0.0,0.7555555555555555,0.37777777777777777
for_whats,0.007226735279110167,0.3317821067821068,0.10646258503401361,0.26629293201062887,0.0781183060943868,0.26220005519047934,0.18217925255073794
hows,0.015,0.2144642857142857,0.06213095238095238,0.1819187617937618,0.05730952380952381,0.1819187617937618,0.11728346820507314
others,0.0,0.4028645833333333,0.13802083333333334,0.3414524711399711,0.12698412698412698,0.3414524711399711,0.23866627120571052
whats,0.02861763307979484,0.4408354188100721,0.15743150255345376,0.3611331361391518,0.13775607294979159,0.3484261704357809,0.25314820479982814
whens,0.038461538461538464,0.2996947496947497,0.13595848595848595,0.26992085549777856,0.12076591499668424,0.26992085549777856,0.20862126206954174
wheres,0.020586129603109213,0.42535128805620603,0.1684426229508197,0.38380931454701944,0.13826023703072884,0.38380931454701944,0.2752843583712663
