question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7559055118110236,0.0,0.7559055118110236,0.0,0.7559055118110236,0.3779527559055118
for_whats,0.013513513513513514,0.3138030888030888,0.06766994266994267,0.25008085163257576,0.05098326348326348,0.24647724802897214,0.1703880313989145
hows,0.0,0.18821428571428572,0.04736842105263158,0.14899457096051522,0.03583162451583504,0.1483753759140756,0.09131546935261245
others,0.0,0.3660919540229885,0.0603448275862069,0.31913718465442603,0.05766283524904215,0.31913718465442603,0.19249896258658072
whats,0.00871915788787654,0.4372695095065994,0.1253652403706743,0.3223164308499255,0.09515155254497648,0.31064086528143237,0.20327368282295444
whens,0.007110626668921367,0.22714964773788301,0.06515151515151515,0.2161306904622413,0.05814452502764191,0.2161306904622413,0.16035056793890512
wheres,0.0,0.43080357142857145,0.1650297619047619,0.3799312790384219,0.13843601834673264,0.3799312790384219,0.25071520269829434
