question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.762962962962963,0.0,0.762962962962963,0.0,0.762962962962963,0.3814814814814815
for_whats,0.003349895806319345,0.3574766714766715,0.11793650793650794,0.291115810053056,0.08816716181422064,0.28869156762881354,0.20007675139734205
hows,0.0039146384827736785,0.18910026322086623,0.048492462311557794,0.16482046708177361,0.04183555138329007,0.164192326378256,0.10853699245776248
others,0.0,0.35303776683087024,0.10919540229885057,0.3089242175449072,0.10632183908045977,0.3089242175449072,0.22023385262901865
whats,0.023689505915926928,0.4385526439372593,0.1543753133313573,0.3549017757593491,0.12767079852842708,0.3414248875786742,0.24132138917915086
whens,0.021394106474056693,0.23287545787545788,0.08945868945868946,0.2167018167018167,0.08155381880078237,0.21456506456506455,0.1713017401252721
wheres,0.02459016393442623,0.4364754098360656,0.18428961748633882,0.40206742255922584,0.15953090625221772,0.4008964623718722,0.28696291083435627
