question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7008928571428571,0.0,0.7008928571428571,0.0,0.7008928571428571,0.35044642857142855
for_whats,0.03552866589306286,0.29630715548471537,0.08373995688810502,0.24061059241339006,0.07675293445273951,0.22987893723729044,0.1528300374851779
hows,0.02008867152944574,0.24641088758735816,0.08767507002801121,0.20363880046945088,0.07452565589820491,0.20307045719011016,0.13764191586413183
others,0.00847457627118644,0.20983968950070644,0.046368038740920096,0.18614784379928165,0.04180790960451978,0.18084470559484736,0.1219182971521106
whats,0.022802432962991115,0.4132118956867214,0.16432550795447776,0.33219130152146215,0.13375370448374443,0.3242999806856687,0.23541956926003044
whens,0.019014417505147214,0.17236194947462552,0.05181924882629108,0.15346669214510128,0.04776886788071543,0.15098842604160553,0.10937872069063133
wheres,0.026310799184275462,0.40369897959183676,0.2138392857142857,0.3663710297638869,0.1873466810966811,0.3663710297638869,0.2805544005830879
