question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7407407407407407,0.0,0.7407407407407407,0.0,0.7407407407407407,0.37037037037037035
for_whats,0.012987012987012988,0.32090290661719234,0.05627705627705627,0.2465308751175825,0.043297743100114645,0.24253487112157854,0.14562858231888173
hows,0.0018211853523338727,0.18052805280528053,0.037953795379537955,0.15056023459488807,0.032484677039132485,0.1499001685882874,0.09165352578242351
others,0.0,0.3035330261136713,0.0913978494623656,0.25857177155988703,0.08870967741935484,0.25857177155988703,0.1850922985565926
whats,0.010348086118759883,0.4494152293232877,0.14217981405650415,0.33720960413399076,0.11138394219751895,0.3255996678163892,0.21511542842180478
whens,0.015994900482477554,0.14092827004219408,0.05780590717299578,0.13075580826883879,0.05013060076351216,0.12926660499259157,0.10220154087492536
wheres,0.0,0.41330645161290325,0.12096774193548387,0.36616161616161613,0.11578341013824885,0.36616161616161613,0.23667309612030665
