question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7786259541984732,0.0,0.7786259541984732,0.0,0.7786259541984732,0.3893129770992366
for_whats,0.04,0.32908181700864625,0.062222222222222213,0.25961683898154486,0.05862433862433863,0.25089889026359613,0.17771386428267733
hows,0.0018962857792342385,0.24142120765832104,0.048883161512027484,0.19626134848239155,0.03965390279823269,0.1953241413596174,0.11337773233408041
others,0.023060010516428343,0.41954022988505746,0.10919540229885057,0.38205440455894174,0.10057471264367815,0.38205440455894174,0.24646568905442318
whats,0.010763371603081663,0.4402730372474882,0.13555200828159886,0.33977464269720503,0.10808294606507814,0.32698639131920765,0.22135485982330252
whens,0.007110626668921367,0.2225417439703154,0.07770562770562771,0.20113987743857872,0.06892234749377606,0.20113987743857872,0.14571858708241003
wheres,0.0,0.4196327683615819,0.16228813559322033,0.381362963778218,0.13946731234866827,0.381362963778218,0.26448327433323426
