index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",86,21,61,21,62,21,52
1,"(0.2, 0.4)",1,36,12,40,17,40,14
2,"(0.4, 0.6)",0,12,10,15,4,15,10
3,"(0.6, 0.8)",1,13,4,9,3,9,8
4,"(0.8, 1.0)",0,6,1,3,2,3,4
