index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",61,31,54,38,57,39,51
1,"(0.2, 0.4)",1,16,4,17,4,16,7
2,"(0.4, 0.6)",0,7,3,5,1,7,4
3,"(0.6, 0.8)",0,5,0,2,0,0,0
4,"(0.8, 1.0)",0,3,1,0,0,0,0
