index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",115,67,104,63,109,63,89
1,"(0.2, 0.4)",0,31,10,39,5,41,16
2,"(0.4, 0.6)",0,11,1,10,1,8,8
3,"(0.6, 0.8)",0,4,0,1,0,1,2
4,"(0.8, 1.0)",1,3,1,3,1,3,1
