index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",125,60,108,71,115,71,103
1,"(0.2, 0.4)",0,32,13,36,6,36,13
2,"(0.4, 0.6)",1,23,3,14,2,14,5
3,"(0.6, 0.8)",0,10,2,5,3,5,3
4,"(0.8, 1.0)",0,1,0,0,0,0,2
