index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",1782,539,1410,606,1429,644,1079
1,"(0.2, 0.4)",14,366,111,540,180,559,400
2,"(0.4, 0.6)",11,326,134,350,94,318,144
3,"(0.6, 0.8)",9,269,45,213,57,192,102
4,"(0.8, 1.0)",22,338,138,129,78,125,113
