index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",198,132,183,136,184,136,162
1,"(0.2, 0.4)",0,24,7,33,10,33,21
2,"(0.4, 0.6)",0,24,5,19,0,19,10
3,"(0.6, 0.8)",0,8,0,6,2,6,2
4,"(0.8, 1.0)",2,12,5,6,4,6,5
