index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",76,49,65,47,66,48,57
1,"(0.2, 0.4)",1,9,5,15,3,14,8
2,"(0.4, 0.6)",0,10,2,8,8,8,5
3,"(0.6, 0.8)",0,7,3,6,0,6,7
4,"(0.8, 1.0)",1,3,3,2,1,2,1
