index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",121,31,92,35,91,35,67
1,"(0.2, 0.4)",0,30,9,38,19,38,24
2,"(0.4, 0.6)",0,28,10,22,7,22,10
3,"(0.6, 0.8)",0,19,6,17,2,17,14
4,"(0.8, 1.0)",1,14,5,10,3,10,7
