index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",76,53,71,52,70,53,62
1,"(0.2, 0.4)",1,9,2,14,4,13,8
2,"(0.4, 0.6)",0,10,2,10,3,10,4
3,"(0.6, 0.8)",0,3,1,1,0,1,2
4,"(0.8, 1.0)",1,3,2,1,1,1,2
