index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",75,54,66,50,69,52,62
1,"(0.2, 0.4)",1,9,6,17,3,15,6
2,"(0.4, 0.6)",0,7,1,5,4,5,3
3,"(0.6, 0.8)",0,4,1,4,0,4,3
4,"(0.8, 1.0)",2,4,4,2,2,2,4
