question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7407407407407407,0.0,0.7407407407407407,0.0,0.7407407407407407,0.37037037037037035
for_whats,0.0,0.3784683570397856,0.09090909090909091,0.2806209951750879,0.06131712493109716,0.2764584910125837,0.17771521670163443
hows,0.01,0.18983333333333335,0.04875,0.16397925685425688,0.04363095238095238,0.16397925685425688,0.1078318884854659
others,0.0,0.39477726574500765,0.17204301075268816,0.3477610203416655,0.16003584229390683,0.3477610203416655,0.2569680097384144
whats,0.020405879226585082,0.44517983376797304,0.15286549232414304,0.35385755680356873,0.1279668533103576,0.34050093950676746,0.23954180469076958
whens,0.016199963309175985,0.22275641025641027,0.10470085470085469,0.2004885072192764,0.08355718355718356,0.19835175508252428,0.1550618453217809
wheres,0.02459016393442623,0.3786885245901639,0.16229508196721312,0.3497176320946813,0.13879308305537813,0.3497176320946813,0.2567353290819491
