question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.762962962962963,0.0,0.762962962962963,0.0,0.762962962962963,0.3814814814814815
for_whats,0.015806145172593856,0.36582175134806716,0.13464912280701755,0.29508341760052037,0.10146016505303967,0.289299727606304,0.19886083810574703
hows,0.010050251256281407,0.21328068916008613,0.06554199569274946,0.18267214360179185,0.057781693460085416,0.18267214360179185,0.12185492052468297
others,0.0,0.445,0.13888888888888887,0.37881914381914383,0.12378306878306879,0.37881914381914383,0.2600834414686467
whats,0.020609020580803127,0.4401953486518347,0.14919085354224929,0.35432232587466833,0.12607209669307337,0.34066056016663915,0.2413757272195286
whens,0.008799214539163448,0.23226294903926484,0.05657894736842105,0.2124299161450864,0.05214076858813701,0.20941994022489377,0.1433769275327204
wheres,0.012704834429022902,0.4001377410468319,0.14242424242424243,0.36548456135232993,0.1270580659010411,0.36548456135232993,0.25694138738432504
