question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7795275590551181,0.0,0.7795275590551181,0.0,0.7795275590551181,0.38976377952755903
for_whats,0.013513513513513514,0.3427781677781678,0.0945945945945946,0.2735259156658751,0.07650342650342651,0.2688166609566204,0.19356188670381744
hows,0.0,0.23355889724310774,0.051666666666666666,0.18909015391213535,0.044204421309684466,0.18909015391213535,0.11696122480997809
others,0.023060010516428343,0.37988505747126433,0.09195402298850575,0.34928098721202167,0.08333333333333333,0.34928098721202167,0.22877800941577367
whats,0.009663607879051737,0.44625870817067836,0.1320899723997069,0.34251425944260505,0.10641556793328326,0.3293622241455247,0.22406745490509344
whens,0.0,0.2153370439084725,0.06731601731601732,0.20052242130164208,0.060429253286396145,0.1986671337320688,0.15561099740144166
wheres,0.005970895580146625,0.4206845238095238,0.15029761904761904,0.3819237805844949,0.13134276437847867,0.3801380662987806,0.2509269698855016
