index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",73,28,63,36,66,37,56
1,"(0.2, 0.4)",0,24,7,28,6,28,11
2,"(0.4, 0.6)",0,12,2,4,1,3,2
3,"(0.6, 0.8)",0,6,1,4,0,4,3
4,"(0.8, 1.0)",1,4,1,2,1,2,2
