index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",1671,534,1372,613,1392,632,1094
1,"(0.2, 0.4)",8,264,87,529,169,558,348
2,"(0.4, 0.6)",6,374,101,293,56,272,112
3,"(0.6, 0.8)",3,223,26,191,37,165,91
4,"(0.8, 1.0)",7,300,109,69,41,68,50
