index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",84,24,56,25,58,25,44
1,"(0.2, 0.4)",1,24,11,25,17,25,17
2,"(0.4, 0.6)",0,15,11,22,6,22,13
3,"(0.6, 0.8)",1,15,3,9,2,9,8
4,"(0.8, 1.0)",2,10,7,7,5,7,6
