index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",113,70,109,72,111,73,93
1,"(0.2, 0.4)",2,22,2,22,0,25,12
2,"(0.4, 0.6)",0,14,4,16,4,12,7
3,"(0.6, 0.8)",0,5,0,2,0,2,2
4,"(0.8, 1.0)",1,5,1,4,1,4,2
