index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",1028,318,809,356,830,365,603
1,"(0.2, 0.4)",6,229,66,335,113,353,249
2,"(0.4, 0.6)",14,193,84,173,49,155,78
3,"(0.6, 0.8)",4,134,20,122,26,115,61
4,"(0.8, 1.0)",15,193,88,81,49,79,76
