index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",61,25,56,33,58,34,52
1,"(0.2, 0.4)",1,20,4,22,2,22,6
2,"(0.4, 0.6)",0,10,2,3,2,4,4
3,"(0.6, 0.8)",0,3,0,4,0,2,0
4,"(0.8, 1.0)",0,4,0,0,0,0,0
