question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.669683257918552,0.0,0.669683257918552,0.0,0.669683257918552,0.334841628959276
for_whats,0.008054583393266224,0.27769375490894477,0.06126180429977898,0.20818523947030568,0.045941757184262175,0.1990459535174012,0.11978636198301434
hows,0.022561708686856006,0.25576316619362977,0.07516556291390729,0.21803415108573698,0.062228902119825374,0.21803415108573698,0.14312623454766243
others,0.008771929824561403,0.2544555834029518,0.06641604010025062,0.2001374805143464,0.06390977443609022,0.19807349702621432,0.1381901581477144
whats,0.0167442641825976,0.3987492845695971,0.13706726866883118,0.3118968779040214,0.10684277563141158,0.30306846313775243,0.21054455920775234
whens,0.01994100720996222,0.16194388553543484,0.037265258215962445,0.14807695713450947,0.030069534626286903,0.14429170380853354,0.09818833487138708
wheres,0.012105127797977365,0.347724399494311,0.15457227138643068,0.3148302352307941,0.1320969417533707,0.3134687648427751,0.22899006780262826
