question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.762962962962963,0.0,0.762962962962963,0.0,0.762962962962963,0.3814814814814815
for_whats,0.012987012987012988,0.3653267367553082,0.09199134199134198,0.2745359679051983,0.056231346293458086,0.2686790796953689,0.16628815575902828
hows,0.00389506529035981,0.1965714285714286,0.0545,0.165779082029082,0.04614285714285714,0.165779082029082,0.1081781438083168
others,0.0,0.3172427035330261,0.0967741935483871,0.26936253710447255,0.08484383000512033,0.26936253710447255,0.193940618522528
whats,0.015773391359714683,0.44642553372150756,0.15049725845427694,0.35167945073474405,0.12417935635378131,0.338603660584887,0.23375757578044204
whens,0.016199963309175985,0.17652625152625154,0.0673076923076923,0.15052703287997404,0.052319902319902314,0.1468819851172792,0.1191468191869117
wheres,0.00819672131147541,0.4153005464480874,0.13934426229508196,0.372735847940766,0.12058287795992713,0.372735847940766,0.2582745858181374
