index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",288,199,265,205,266,205,234
1,"(0.2, 0.4)",1,27,12,33,13,33,31
2,"(0.4, 0.6)",1,34,5,29,4,30,14
3,"(0.6, 0.8)",1,15,3,16,5,15,8
4,"(0.8, 1.0)",0,16,6,8,3,8,4
