index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",180,44,139,55,142,55,104
1,"(0.2, 0.4)",0,54,16,60,29,60,46
2,"(0.4, 0.6)",0,39,17,39,8,39,10
3,"(0.6, 0.8)",1,29,5,18,0,18,17
4,"(0.8, 1.0)",2,17,6,11,4,11,6
