index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",110,67,94,61,95,63,77
1,"(0.2, 0.4)",1,14,6,24,5,22,14
2,"(0.4, 0.6)",1,13,5,15,11,15,13
3,"(0.6, 0.8)",2,10,6,8,1,8,8
4,"(0.8, 1.0)",1,11,4,7,3,7,3
