index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",130,45,102,55,110,56,92
1,"(0.2, 0.4)",0,33,15,40,14,41,25
2,"(0.4, 0.6)",0,24,4,27,5,25,7
3,"(0.6, 0.8)",0,19,6,8,1,8,6
4,"(0.8, 1.0)",0,9,3,0,0,0,0
