index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",44,17,31,18,33,18,22
1,"(0.2, 0.4)",0,4,7,2,6,2,9
2,"(0.4, 0.6)",0,9,3,11,2,11,5
3,"(0.6, 0.8)",0,9,1,10,2,10,7
4,"(0.8, 1.0)",0,5,2,3,1,3,1
