index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",2437,797,1955,867,1998,913,1490
1,"(0.2, 0.4)",21,446,152,737,229,761,551
2,"(0.4, 0.6)",15,466,149,432,123,402,198
3,"(0.6, 0.8)",14,333,72,317,67,281,147
4,"(0.8, 1.0)",29,474,188,163,99,159,130
