question_type,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
closed,0.0,0.7149321266968326,0.0,0.7149321266968326,0.0,0.7149321266968326,0.3574660633484163
for_whats,0.046349995868352964,0.2564756084488028,0.07148884870403859,0.2102622431108896,0.06356243859574973,0.20014127075983534,0.13420311109422114
hows,0.02181964212538936,0.27401450646483755,0.09406338694418163,0.22621768354140773,0.07960637596399185,0.22395351477938155,0.15522915904848075
others,0.01087516632437258,0.24703712466870362,0.05288220551378446,0.21587737097675627,0.0433847777338082,0.21007856022438512,0.1369942880271051
whats,0.030235660099350675,0.4122900442273969,0.16264122689785235,0.3391293624471393,0.1338386183827263,0.3298063942982129,0.24055114578280912
whens,0.016682450631876105,0.2063128772635815,0.06292756539235413,0.18693872620659346,0.05651392951832417,0.18192729006839678,0.1339990946407294
wheres,0.03855110319206084,0.3956420068027211,0.18779761904761902,0.365261846288632,0.17649493363779079,0.3641457748600606,0.27266344280622884
