index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",197,132,184,134,186,134,164
1,"(0.2, 0.4)",1,26,6,37,4,37,19
2,"(0.4, 0.6)",1,22,2,13,1,13,9
3,"(0.6, 0.8)",0,8,1,10,5,10,2
4,"(0.8, 1.0)",0,11,6,5,3,5,5
