index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",120,32,85,34,87,34,65
1,"(0.2, 0.4)",0,30,14,35,23,36,26
2,"(0.4, 0.6)",1,24,12,24,6,23,10
3,"(0.6, 0.8)",0,19,4,17,1,17,12
4,"(0.8, 1.0)",1,17,7,12,5,12,9
