index,ranges,bleu,bleu1,bleu2,rouge1,rouge2,rougeL,meteor
0,"(0.0, 0.2)",1749,575,1410,626,1415,651,1057
1,"(0.2, 0.4)",18,333,103,516,185,537,381
2,"(0.4, 0.6)",11,335,121,331,88,315,163
3,"(0.6, 0.8)",11,243,37,209,44,187,103
4,"(0.8, 1.0)",24,327,142,131,81,123,109
